hFFVal	realGoalDist	problemName	count
3	7	probBLOCKS-4-0	10
3	5	probBLOCKS-4-0	3
3	8	probBLOCKS-4-0	17
2	8	probBLOCKS-4-0	6
3	6	probBLOCKS-4-0	5
2	4	probBLOCKS-4-0	3
3	9	probBLOCKS-4-0	17
2	9	probBLOCKS-4-0	6
2	7	probBLOCKS-4-0	3
2	5	probBLOCKS-4-0	2
2	3	probBLOCKS-4-0	2
2	10	probBLOCKS-4-0	12
3	10	probBLOCKS-4-0	15
1	6	probBLOCKS-4-0	2
2	6	probBLOCKS-4-0	2
1	2	probBLOCKS-4-0	2
1	10	probBLOCKS-4-0	2
2	11	probBLOCKS-4-0	6
3	11	probBLOCKS-4-0	10
1	1	probBLOCKS-4-0	2
1	11	probBLOCKS-4-0	2
2	12	probBLOCKS-4-0	6
3	12	probBLOCKS-4-0	8
1	12	probBLOCKS-4-0	4
0	0	probBLOCKS-4-0	2
3	11	probBLOCKS-5-0	25
3	13	probBLOCKS-5-0	39
2	14	probBLOCKS-5-0	17
3	12	probBLOCKS-5-0	55
3	10	probBLOCKS-5-0	21
4	11	probBLOCKS-5-0	81
3	9	probBLOCKS-5-0	10
4	9	probBLOCKS-5-0	32
4	12	probBLOCKS-5-0	91
4	10	probBLOCKS-5-0	67
2	8	probBLOCKS-5-0	6
4	8	probBLOCKS-5-0	16
4	7	probBLOCKS-5-0	6
4	13	probBLOCKS-5-0	72
3	7	probBLOCKS-5-0	5
3	6	probBLOCKS-5-0	6
4	14	probBLOCKS-5-0	61
3	8	probBLOCKS-5-0	7
3	5	probBLOCKS-5-0	3
4	15	probBLOCKS-5-0	27
2	12	probBLOCKS-5-0	8
3	14	probBLOCKS-5-0	46
4	16	probBLOCKS-5-0	16
2	4	probBLOCKS-5-0	3
3	15	probBLOCKS-5-0	20
2	13	probBLOCKS-5-0	7
2	5	probBLOCKS-5-0	2
2	3	probBLOCKS-5-0	2
3	16	probBLOCKS-5-0	12
2	16	probBLOCKS-5-0	7
1	2	probBLOCKS-5-0	2
2	10	probBLOCKS-5-0	3
1	6	probBLOCKS-5-0	2
2	6	probBLOCKS-5-0	2
1	14	probBLOCKS-5-0	2
2	9	probBLOCKS-5-0	2
2	7	probBLOCKS-5-0	3
2	11	probBLOCKS-5-0	3
1	1	probBLOCKS-5-0	2
2	15	probBLOCKS-5-0	5
1	15	probBLOCKS-5-0	2
1	16	probBLOCKS-5-0	2
1	10	probBLOCKS-5-0	2
0	0	probBLOCKS-5-0	2
5	11	probBLOCKS-6-0	112
5	13	probBLOCKS-6-0	371
5	12	probBLOCKS-6-0	263
5	10	probBLOCKS-6-0	48
4	14	probBLOCKS-6-0	210
4	15	probBLOCKS-6-0	202
5	9	probBLOCKS-6-0	15
3	16	probBLOCKS-6-0	69
5	14	probBLOCKS-6-0	441
4	8	probBLOCKS-6-0	15
5	15	probBLOCKS-6-0	423
4	9	probBLOCKS-6-0	17
4	7	probBLOCKS-6-0	5
3	17	probBLOCKS-6-0	44
5	16	probBLOCKS-6-0	319
4	12	probBLOCKS-6-0	82
3	6	probBLOCKS-6-0	6
4	16	probBLOCKS-6-0	241
3	18	probBLOCKS-6-0	47
4	10	probBLOCKS-6-0	31
3	10	probBLOCKS-6-0	19
5	17	probBLOCKS-6-0	226
4	13	probBLOCKS-6-0	98
4	11	probBLOCKS-6-0	43
4	17	probBLOCKS-6-0	155
3	11	probBLOCKS-6-0	12
3	5	probBLOCKS-6-0	3
3	7	probBLOCKS-6-0	5
4	18	probBLOCKS-6-0	110
3	12	probBLOCKS-6-0	18
5	18	probBLOCKS-6-0	137
3	8	probBLOCKS-6-0	7
2	8	probBLOCKS-6-0	6
3	14	probBLOCKS-6-0	30
2	4	probBLOCKS-6-0	3
3	15	probBLOCKS-6-0	24
3	9	probBLOCKS-6-0	10
2	3	probBLOCKS-6-0	2
2	5	probBLOCKS-6-0	2
2	16	probBLOCKS-6-0	6
2	12	probBLOCKS-6-0	5
1	2	probBLOCKS-6-0	2
1	6	probBLOCKS-6-0	2
2	6	probBLOCKS-6-0	2
5	19	probBLOCKS-6-0	32
4	19	probBLOCKS-6-0	26
3	13	probBLOCKS-6-0	14
2	7	probBLOCKS-6-0	3
2	13	probBLOCKS-6-0	2
3	19	probBLOCKS-6-0	9
1	1	probBLOCKS-6-0	2
2	9	probBLOCKS-6-0	2
2	17	probBLOCKS-6-0	4
5	20	probBLOCKS-6-0	5
2	18	probBLOCKS-6-0	15
2	10	probBLOCKS-6-0	3
4	20	probBLOCKS-6-0	8
2	20	probBLOCKS-6-0	3
2	14	probBLOCKS-6-0	4
1	18	probBLOCKS-6-0	2
0	0	probBLOCKS-6-0	2
1	14	probBLOCKS-6-0	2
