hFFVal	realGoalDist	problemName	count
17	33	probBLOCKS-10-0	944
18	35	probBLOCKS-10-0	64
18	36	probBLOCKS-10-0	64
17	34	probBLOCKS-10-0	594
18	32	probBLOCKS-10-0	4179
18	33	probBLOCKS-10-0	1063
18	31	probBLOCKS-10-0	5907
18	30	probBLOCKS-10-0	12822
18	34	probBLOCKS-10-0	781
17	32	probBLOCKS-10-0	3288
17	29	probBLOCKS-10-0	15413
17	31	probBLOCKS-10-0	5258
17	35	probBLOCKS-10-0	42
16	31	probBLOCKS-10-0	2101
17	30	probBLOCKS-10-0	9950
18	28	probBLOCKS-10-0	24893
16	32	probBLOCKS-10-0	1115
17	36	probBLOCKS-10-0	42
18	29	probBLOCKS-10-0	17672
18	27	probBLOCKS-10-0	37699
16	33	probBLOCKS-10-0	378
18	26	probBLOCKS-10-0	39345
16	34	probBLOCKS-10-0	189
17	28	probBLOCKS-10-0	20238
16	30	probBLOCKS-10-0	3601
18	25	probBLOCKS-10-0	76988
17	27	probBLOCKS-10-0	32063
16	29	probBLOCKS-10-0	6140
16	35	probBLOCKS-10-0	12
18	24	probBLOCKS-10-0	66856
17	26	probBLOCKS-10-0	36845
16	28	probBLOCKS-10-0	8641
15	34	probBLOCKS-10-0	37
16	36	probBLOCKS-10-0	12
18	23	probBLOCKS-10-0	108489
17	25	probBLOCKS-10-0	52222
16	27	probBLOCKS-10-0	11988
15	33	probBLOCKS-10-0	75
17	24	probBLOCKS-10-0	45425
16	26	probBLOCKS-10-0	13714
15	28	probBLOCKS-10-0	1911
18	22	probBLOCKS-10-0	130795
15	32	probBLOCKS-10-0	220
17	23	probBLOCKS-10-0	48483
16	25	probBLOCKS-10-0	15372
18	21	probBLOCKS-10-0	54537
15	31	probBLOCKS-10-0	463
15	29	probBLOCKS-10-0	1394
15	27	probBLOCKS-10-0	2558
15	35	probBLOCKS-10-0	2
17	22	probBLOCKS-10-0	54438
16	24	probBLOCKS-10-0	13388
18	20	probBLOCKS-10-0	62169
15	26	probBLOCKS-10-0	2995
15	30	probBLOCKS-10-0	822
14	28	probBLOCKS-10-0	324
15	36	probBLOCKS-10-0	2
16	23	probBLOCKS-10-0	9336
17	21	probBLOCKS-10-0	19470
15	25	probBLOCKS-10-0	2190
14	27	probBLOCKS-10-0	292
18	19	probBLOCKS-10-0	25949
14	31	probBLOCKS-10-0	63
14	29	probBLOCKS-10-0	184
17	20	probBLOCKS-10-0	14355
14	26	probBLOCKS-10-0	195
15	24	probBLOCKS-10-0	1167
18	18	probBLOCKS-10-0	12282
16	22	probBLOCKS-10-0	6993
14	30	probBLOCKS-10-0	90
13	28	probBLOCKS-10-0	14
14	32	probBLOCKS-10-0	32
19	25	probBLOCKS-10-0	18246
19	27	probBLOCKS-10-0	4949
19	23	probBLOCKS-10-0	61841
19	21	probBLOCKS-10-0	35710
16	21	probBLOCKS-10-0	1752
17	19	probBLOCKS-10-0	2689
15	23	probBLOCKS-10-0	719
14	25	probBLOCKS-10-0	110
19	19	probBLOCKS-10-0	12217
18	17	probBLOCKS-10-0	2844
13	27	probBLOCKS-10-0	9
19	29	probBLOCKS-10-0	1029
13	29	probBLOCKS-10-0	15
14	33	probBLOCKS-10-0	3
19	22	probBLOCKS-10-0	89409
19	24	probBLOCKS-10-0	7275
19	26	probBLOCKS-10-0	3396
15	20	probBLOCKS-10-0	5104
13	22	probBLOCKS-10-0	125
19	20	probBLOCKS-10-0	30200
16	18	probBLOCKS-10-0	6259
19	28	probBLOCKS-10-0	465
19	30	probBLOCKS-10-0	79
14	22	probBLOCKS-10-0	1029
13	30	probBLOCKS-10-0	11
15	18	probBLOCKS-10-0	1734
13	26	probBLOCKS-10-0	1
16	16	probBLOCKS-10-0	1798
13	24	probBLOCKS-10-0	31
14	20	probBLOCKS-10-0	793
15	22	probBLOCKS-10-0	2479
14	24	probBLOCKS-10-0	12
12	24	probBLOCKS-10-0	5
19	31	probBLOCKS-10-0	70
14	34	probBLOCKS-10-0	2
13	23	probBLOCKS-10-0	62
12	23	probBLOCKS-10-0	8
14	23	probBLOCKS-10-0	203
13	21	probBLOCKS-10-0	54
14	19	probBLOCKS-10-0	335
14	21	probBLOCKS-10-0	451
15	19	probBLOCKS-10-0	3396
15	21	probBLOCKS-10-0	1074
16	17	probBLOCKS-10-0	3644
16	19	probBLOCKS-10-0	6665
15	17	probBLOCKS-10-0	680
16	15	probBLOCKS-10-0	326
12	29	probBLOCKS-10-0	1
13	25	probBLOCKS-10-0	3
13	33	probBLOCKS-10-0	1
13	31	probBLOCKS-10-0	1
19	32	probBLOCKS-10-0	1
14	14	probBLOCKS-10-0	441
13	15	probBLOCKS-10-0	168
14	15	probBLOCKS-10-0	526
14	13	probBLOCKS-10-0	88
14	16	probBLOCKS-10-0	867
13	16	probBLOCKS-10-0	211
12	12	probBLOCKS-10-0	103
16	20	probBLOCKS-10-0	8031
14	17	probBLOCKS-10-0	313
13	17	probBLOCKS-10-0	297
13	18	probBLOCKS-10-0	222
15	15	probBLOCKS-10-0	4
