h_ff_val	real_val	problemName	count
2	2	pfile1	4
0	0	pfile1	2
1	1	pfile1	3
3	3	pfile1	2
3	5	pfile1	1
4	5	pfile1	1
22	21	pfile10	50288
23	23	pfile10	53613
24	24	pfile10	31693
22	23	pfile10	70960
21	22	pfile10	70002
23	24	pfile10	58521
23	22	pfile10	38312
25	24	pfile10	9959
26	25	pfile10	3006
24	25	pfile10	31899
24	22	pfile10	10987
25	22	pfile10	1739
24	23	pfile10	23663
21	23	pfile10	56594
25	23	pfile10	5321
22	24	pfile10	61655
22	22	pfile10	66517
22	25	pfile10	42366
23	25	pfile10	48344
24	26	pfile10	25219
23	26	pfile10	31423
25	27	pfile10	7605
26	26	pfile10	3162
26	27	pfile10	2542
25	25	pfile10	11669
27	25	pfile10	333
24	27	pfile10	14861
22	26	pfile10	23687
21	24	pfile10	40910
21	20	pfile10	51387
20	21	pfile10	61154
23	21	pfile10	17406
24	21	pfile10	3116
25	26	pfile10	11351
26	24	pfile10	1853
23	27	pfile10	16844
21	21	pfile10	71267
26	23	pfile10	610
20	23	pfile10	31055
20	26	pfile10	5362
20	25	pfile10	11407
26	22	pfile10	175
21	25	pfile10	23416
20	22	pfile10	45675
23	28	pfile10	7417
27	26	pfile10	566
27	27	pfile10	377
24	28	pfile10	7004
25	28	pfile10	4460
24	29	pfile10	2376
25	29	pfile10	1840
23	29	pfile10	2099
26	28	pfile10	1578
19	27	pfile10	686
19	28	pfile10	419
22	29	pfile10	1687
20	28	pfile10	1250
22	28	pfile10	5404
22	31	pfile10	50
22	27	pfile10	13107
21	26	pfile10	14176
21	27	pfile10	6620
19	22	pfile10	22003
20	27	pfile10	3166
19	23	pfile10	12283
21	28	pfile10	3152
20	24	pfile10	19029
20	20	pfile10	60134
19	21	pfile10	33824
20	29	pfile10	430
23	20	pfile10	3942
19	24	pfile10	6802
26	29	pfile10	943
22	20	pfile10	21299
25	21	pfile10	387
27	24	pfile10	113
20	19	pfile10	38033
19	20	pfile10	46474
19	19	pfile10	42637
27	23	pfile10	46
19	26	pfile10	1706
21	29	pfile10	950
27	28	pfile10	396
18	23	pfile10	3177
21	19	pfile10	16408
18	22	pfile10	7259
18	19	pfile10	29754
25	30	pfile10	608
24	20	pfile10	518
19	25	pfile10	2830
21	30	pfile10	165
18	20	pfile10	21641
18	21	pfile10	13829
24	30	pfile10	588
26	30	pfile10	290
22	19	pfile10	2665
23	30	pfile10	521
23	31	pfile10	68
19	18	pfile10	30586
18	18	pfile10	33048
27	29	pfile10	216
22	30	pfile10	307
27	30	pfile10	157
25	31	pfile10	77
18	25	pfile10	923
21	31	pfile10	23
27	31	pfile10	22
17	22	pfile10	1509
18	26	pfile10	417
24	31	pfile10	69
20	30	pfile10	48
28	28	pfile10	58
28	30	pfile10	74
27	32	pfile10	7
17	19	pfile10	12162
17	21	pfile10	3893
17	17	pfile10	22552
20	18	pfile10	13723
17	20	pfile10	8471
26	21	pfile10	11
18	24	pfile10	1221
17	18	pfile10	18990
18	27	pfile10	286
18	17	pfile10	22073
28	26	pfile10	34
28	27	pfile10	11
18	29	pfile10	17
23	19	pfile10	287
29	30	pfile10	21
21	18	pfile10	2449
18	28	pfile10	31
28	25	pfile10	5
28	24	pfile10	3
19	30	pfile10	14
23	32	pfile10	8
28	29	pfile10	11
26	31	pfile10	73
17	24	pfile10	297
17	25	pfile10	145
19	29	pfile10	32
17	23	pfile10	456
19	17	pfile10	9688
26	32	pfile10	8
25	32	pfile10	10
22	32	pfile10	6
22	18	pfile10	231
16	20	pfile10	2078
