realDistance	heuristic	count
0	0	4608
1	1	16128
2	2	52802
2	65	2
2	50	14
2	37	42
2	66	133
2	51	682
2	83	6
2	38	1625
2	26	70
2	27	2130
2	17	70
2	18	1591
2	10	42
2	11	638
2	5	14
2	6	107
3	3	117728
3	84	928
3	259	252
3	228	385
3	66	110
3	4	9618
3	67	5257
3	130	7
3	51	576
3	100	44
3	292	42
3	131	336
3	7	565
3	199	1040
3	172	1305
3	52	20305
3	248	35
3	101	1760
3	38	1230
3	74	117
3	53	4255
3	221	175
3	56	5
3	68	75
3	39	32707
3	147	1640
3	124	1610
3	40	255
3	183	140
3	75	3768
3	27	1360
3	160	280
3	116	11
3	88	47
3	43	20
3	28	25838
3	29	490
3	103	1200
3	128	210
3	18	810
3	34	145
3	64	78
3	109	210
3	32	30
3	19	9563
3	44	62
3	35	2528
3	20	567
3	83	140
3	11	328
3	23	20
3	12	1262
3	37	7
3	21	768
3	13	255
3	48	35
3	10	19
3	6	26
3	16	8
3	8	53
4	4	343408
4	85	8672
4	580	735
4	488	1470
4	8	23781
4	5	72464
4	260	8040
4	229	9036
4	6	786
4	67	318
4	292	84
4	104	12004
4	13	2194
4	52	1039
4	248	77
4	221	350
4	3	2672
4	68	9356
4	552	410
4	293	4820
4	200	20596
4	173	22930
4	445	1720
4	365	3308
4	453	603
4	404	910
4	53	22542
4	446	100
4	366	208
4	7	1351
4	56	36
4	201	1092
4	174	1464
4	249	2520
4	222	10090
4	204	100
4	177	144
4	39	1197
4	40	30957
4	183	315
4	160	560
4	184	7850
4	54	5620
4	414	1104
4	102	706
4	502	44
4	259	42
4	228	77
4	298	280
4	199	270
4	172	315
4	57	107
4	117	170
4	69	2020
4	148	23761
4	125	20469
4	147	420
4	328	1500
4	329	1704
4	41	2560
4	89	725
4	261	360
4	400	36
4	76	2866
4	364	208
4	415	36
4	330	60
4	43	84
4	223	324
4	149	2840
4	126	3168
4	185	288
4	161	11800
4	220	1120
4	101	26
4	75	130
4	44	196
4	226	168
4	188	32
4	152	240
4	129	8692
4	28	1157
4	29	22144
4	128	490
4	109	420
4	132	5
4	134	5
4	294	132
4	162	1036
4	296	1008
4	77	47
4	124	490
4	90	51
4	80	4
4	103	456
4	30	3816
4	225	1230
4	230	132
4	65	796
4	279	108
4	55	140
4	254	468
4	297	91
4	32	84
4	110	5660
4	105	2956
4	86	2288
4	130	888
4	154	1680
4	108	180
4	33	228
4	165	132
4	133	72
4	19	610
4	35	260
4	20	7138
4	83	350
4	84	3770
4	219	35
4	153	70
4	255	24
4	99	70
4	198	344
4	111	1142
4	250	156
4	66	24
4	58	292
4	36	3037
4	21	2838
4	45	458
4	141	336
4	164	312
4	142	84
4	180	108
4	37	242
4	23	199
4	100	1120
4	114	60
4	24	118
4	88	48
4	12	147
4	48	105
4	49	320
4	120	30
4	78	40
4	70	468
4	157	68
4	46	24
4	121	12
4	22	790
4	14	804
4	95	24
4	94	52
4	50	312
4	72	40
4	73	12
4	17	17
4	11	26
4	27	7
4	112	60
4	79	249
4	61	51
4	31	267
4	51	20
4	38	36
4	15	10
4	26	4
4	16	69
4	9	44
5	5	146259
5	86	2996
5	1029	442
5	846	815
5	9	15831
5	261	2432
5	230	1669
5	294	1768
5	105	370
5	6	38627
5	581	3579
5	489	5246
5	14	1161
5	69	31316
5	133	4138
5	67	381
5	68	1265
5	132	210
5	552	163
5	7	1787
5	53	3117
5	117	8
5	453	228
5	57	326
5	414	212
5	502	77
5	4	3347
5	56	646
5	102	604
5	106	130
5	52	1099
5	910	433
5	553	3280
5	8	463
5	51	16
5	54	45650
5	103	7920
5	681	456
5	789	284
5	630	443
5	730	636
5	790	63
5	631	126
5	58	4603
5	118	434
5	10	1379
5	70	360
5	201	2378
5	174	1769
5	205	285
5	178	276
5	223	757
5	250	298
5	227	389
5	299	16
5	202	263
5	175	240
5	204	100
5	226	508
5	293	27
5	249	15
5	224	49
5	177	110
5	405	1801
5	446	3666
5	366	5123
5	454	3632
5	447	657
5	367	1004
5	55	4916
5	107	873
5	104	409
5	415	3135
5	15	77
5	445	8
5	365	856
5	63	579
5	112	153
5	73	156
5	87	42
5	450	63
5	370	98
5	40	2749
5	41	21220
5	89	19
5	329	1310
5	364	71
5	76	676
5	400	70
5	330	3359
