realDistance	heuristic	count
0	0	36864
1	1	36864
2	2	28416
3	3	34176
3	4	1152
4	9	4544
4	4	28356
4	23	32
4	8	1024
4	27	32
4	15	256
4	16	256
4	14	128
4	18	128
4	5	816
4	6	108
5	11	5136
5	10	11600
5	3	1024
5	4	1024
5	18	72
5	17	248
5	19	120
5	9	4176
5	7	128
5	16	200
5	5	14016
5	6	768
5	24	24
5	15	96
5	28	24
6	12	3768
6	11	7368
6	10	4080
6	6	7248
6	15	992
6	17	164
6	16	328
6	25	200
6	18	148
6	20	1168
6	29	160
6	21	420
6	7	416
6	4	704
6	14	240
6	8	96
6	26	152
6	5	704
6	19	28
6	30	40
6	13	256
6	27	544
6	41	40
6	45	40
6	28	48
6	34	8
6	42	8
6	46	8
7	13	5800
7	12	7084
7	17	680
7	16	1328
7	9	128
7	14	1660
7	26	40
7	30	40
7	18	244
7	19	76
7	6	624
7	7	5088
7	10	96
7	8	448
7	15	712
7	11	3216
7	5	176
7	21	60
7	20	12
8	14	3164
8	15	480
8	13	5320
8	18	1312
8	17	1696
8	19	496
8	32	58
8	21	596
8	36	12
8	22	296
8	25	544
8	37	20
8	23	240
8	24	100
8	28	88
8	26	416
8	12	3496
8	7	328
8	16	1040
8	8	2112
8	30	86
8	34	24
8	31	92
8	20	24
8	9	200
8	27	48
8	10	16
8	35	80
8	33	48
8	6	128
8	29	56
8	46	24
8	50	8
8	47	8
8	39	24
8	11	8
9	19	2076
9	14	2752
9	18	3684
9	25	138
9	22	344
9	26	222
9	23	352
9	20	716
9	15	1136
9	16	396
9	17	732
9	35	52
9	28	88
9	36	26
9	21	160
9	13	708
9	33	114
9	42	6
9	34	104
9	49	6
9	53	6
9	50	2
9	8	68
9	9	12
9	10	8
9	37	24
9	38	18
9	54	2
9	29	38
9	27	370
9	24	244
9	32	36
9	11	8
9	12	128
9	7	68
9	6	8
9	30	16
9	46	4
9	39	4
9	44	4
9	48	4
9	52	4
10	19	1744
10	20	1372
10	15	252
10	16	162
10	17	86
10	21	546
10	18	176
10	22	114
10	28	76
10	25	26
10	34	12
10	26	44
10	35	12
10	13	54
10	14	80
10	23	194
10	24	76
10	27	42
10	29	28
10	38	4
10	36	4
11	20	252
11	21	336
11	22	84
--- end of histogram ---
realDistance	heuristic	count
0	0	36864
1	1	36864
2	2	19200
2	1	9216
3	3	24576
3	2	10752
4	3	33056
4	2	2624
5	4	17920
5	3	20736
6	4	12224
6	3	16192
6	5	960
7	4	15376
7	3	11168
7	5	968
8	4	14240
8	5	480
8	3	7968
9	4	13392
9	5	936
9	3	560
10	4	4064
10	5	1040
11	4	448
11	5	224
--- end of histogram ---
