realDistance	heuristic	count
0	0	1728
1	1	19008
2	2	91872
3	6	1728
3	3	272442
3	8	8809
3	38	2
3	26	66
3	16	726
3	9	1089
3	17	99
3	15	3
3	27	3
4	10	9866
4	7	6912
4	3	8640
4	4	605248
4	9	52326
4	20	1020
4	21	2160
4	22	1596
4	14	1296
4	15	2160
4	11	198
4	32	6
4	5	2904
4	16	998
4	27	198
4	17	2193
4	38	300
4	28	318
4	29	6
4	18	495
4	40	30
4	66	30
4	48	30
4	12	528
4	23	12
4	39	6
4	60	1
4	96	1
4	70	1
5	11	32325
5	8	7314
5	5	663452
5	4	49946
5	20	1790
5	21	7169
5	14	6126
5	10	59893
5	18	3552
5	22	8133
5	9	3009
5	19	4039
5	23	2948
5	16	9664
5	3	2186
5	15	7984
5	24	60
5	13	2868
5	12	3473
5	32	172
5	17	3356
5	50	6
5	6	13042
5	28	261
5	42	12
5	44	6
5	39	678
5	29	918
5	25	100
5	26	126
5	30	106
5	41	134
5	67	120
5	49	117
5	27	58
5	33	8
5	36	3
5	40	9
5	61	6
5	97	6
5	71	6
5	35	1
--- end of histogram ---
realDistance	heuristic	count
0	0	1728
1	1	19008
2	2	20736
2	1	71136
3	2	146304
3	3	18471
3	1	120192
4	2	449280
4	3	140406
4	4	4721
4	1	105072
5	2	592301
5	3	257015
5	4	24134
5	5	308
5	1	21424
--- end of histogram ---
