realDistance	heuristic	count
0	0	450
1	4	28
1	1	784
2	5	28
2	2	1484
2	6	28
3	3	1092
3	7	14
4	8	728
4	4	364
4	7	14
5	13	819
5	9	3276
5	10	8736
6	10	8736
6	9	2184
6	11	8736
6	13	91
7	5	2184
7	11	8736
7	15	4368
7	14	2184
8	10	2184
8	6	2184
8	17	48048
8	16	48048
8	19	2184
8	15	13104
9	19	2548
9	15	13104
9	17	48048
9	16	48048
10	19	364
10	12	8008
10	7	8008
10	8	8008
11	21	20020
11	20	8008
11	25	9009
12	23	160160
12	22	160160
12	25	9009
12	21	44044
13	23	160160
13	22	160160
13	21	40040
13	27	40040
13	26	20020
14	14	20020
14	9	20020
14	10	20020
14	29	360360
14	28	360360
14	31	20020
14	27	100100
15	31	22022
15	27	100100
15	29	360360
15	28	360360
16	31	2002
16	16	36036
16	11	36036
16	12	36036
17	33	90090
17	32	36036
17	37	39039
18	35	191003
18	34	191006
18	37	13167
18	33	53720
--- end of histogram ---
realDistance	heuristic	count
0	0	450
1	1	812
2	2	812
2	1	728
3	2	1106
4	3	378
4	2	728
5	3	12740
5	2	91
6	3	19747
7	2	2184
7	3	15288
8	2	4368
8	3	111384
9	3	111384
9	2	364
10	3	364
10	2	24024
11	3	36036
11	2	1001
12	3	373373
13	3	420420
14	2	60060
14	3	840840
15	3	840840
15	2	2002
16	3	2002
16	2	108108
17	3	162162
17	2	3003
18	3	448896
--- end of histogram ---
