realDistance	heuristic	count
0	0	240
1	1	1280
2	2	4300
3	3	12760
4	3	1600
4	4	32150
5	4	9160
5	5	71270
6	5	31940
6	6	145260
7	6	94620
7	7	273610
8	6	4140
8	7	243570
8	8	479570
9	7	22603
9	8	490463
9	9	703191
--- end of histogram ---
realDistance	heuristic	count
0	0	240
1	1	1280
2	2	1600
2	1	2700
3	2	9880
3	1	2880
4	3	2720
4	2	29400
4	1	1630
5	3	16200
5	2	63130
5	4	640
5	1	460
6	3	55270
6	4	5940
6	2	115940
6	1	50
7	3	153310
7	4	27320
7	2	186480
7	5	1120
8	3	362850
8	4	90690
8	5	9910
8	2	263670
8	6	160
9	3	661898
9	4	217923
9	5	35396
9	2	299560
9	6	1480
--- end of histogram ---
