realDistance	heuristic	count
0	0	2304
1	1	9984
2	2	39552
3	3	119424
3	8	1280
4	8	1280
4	9	17920
4	4	289968
4	3	6912
4	10	25600
5	9	6400
5	10	84288
5	5	613712
5	4	29184
5	11	148992
5	14	320
6	10	5872
6	11	93911
6	6	322273
6	5	27049
6	14	192
6	12	184595
6	16	3705
6	15	576
6	7	512
--- end of histogram ---
realDistance	heuristic	count
0	0	2304
1	1	9984
2	2	22272
2	1	17280
3	2	105856
3	1	14848
4	3	46720
4	2	288448
4	1	6512
5	3	247552
5	2	623136
5	4	10880
5	1	1328
6	3	281551
6	2	335010
6	4	22112
6	1	12
--- end of histogram ---
