realDistance	heuristic	count
0	0	490
1	1	392
2	2	1119
3	41	241
3	30	12
3	3	2081
3	13	7
3	7	8
3	21	24
3	20	19
4	42	1331
4	31	60
4	3	866
4	4	3168
4	14	34
4	8	40
4	22	107
4	21	71
5	4	1891
5	43	2317
5	3	5
5	5	3582
5	22	160
5	9	88
5	15	73
5	23	212
5	32	92
5	31	24
5	42	670
5	14	4
5	21	18
6	42	214
6	78	244
6	5	3669
6	43	2526
6	6	4917
6	3	5
6	23	287
6	67	10
6	21	2
6	16	98
6	10	120
6	24	269
6	33	110
6	32	92
6	44	2810
6	31	2
6	15	12
6	22	56
6	4	5
7	43	779
7	79	1360
7	6	6445
7	44	7204
7	7	6186
7	5	15
7	22	14
7	68	60
7	24	437
7	11	104
7	17	83
7	25	208
7	33	242
7	34	76
7	45	2213
7	32	8
7	16	26
7	23	119
8	44	3931
8	80	5118
8	7	7707
8	6	932
8	45	8407
8	8	6929
8	43	5
8	23	54
8	69	210
8	25	424
8	18	44
8	12	56
8	26	103
8	34	237
8	35	34
8	46	1112
8	33	50
8	17	32
8	24	162
9	8	9781
9	7	2048
9	45	6450
9	81	9648
9	6	115
9	79	58
9	46	7863
9	9	6503
9	44	107
9	24	90
9	70	398
9	26	323
9	13	16
9	19	12
9	35	222
9	27	22
9	36	4
9	47	252
9	34	68
9	80	634
9	18	26
9	25	151
10	8	3502
10	46	12222
10	9	13499
10	82	14964
10	7	122
10	80	788
10	47	2684
10	45	219
10	25	118
10	71	602
10	27	106
10	10	3376
10	35	123
10	36	23
10	81	1314
10	19	12
10	26	116
11	10	14360
11	9	4600
11	8	305
11	81	1978
11	46	1214
11	82	4137
11	47	8342
11	83	11628
11	26	78
11	72	482
11	11	1489
11	36	48
11	27	48
12	82	6828
12	10	4058
12	47	1087
12	83	3704
12	11	12401
12	48	6821
12	84	7393
12	9	584
12	27	44
12	73	332
12	37	32
12	28	32
13	83	6672
13	10	636
13	48	2048
13	84	4328
13	11	3896
13	12	8270
13	9	52
14	84	10696
14	11	622
14	10	52
14	12	1526
15	12	276
15	11	130
--- end of histogram ---
realDistance	heuristic	count
0	0	490
1	1	392
2	2	1021
2	1	98
3	3	311
3	2	2081
4	3	3617
4	2	2060
5	3	6619
5	2	1777
5	4	740
6	4	2194
6	3	11736
6	2	1518
7	4	6134
7	3	17973
7	2	1472
8	4	11771
8	3	22618
8	2	1158
9	3	27460
9	4	16694
9	2	637
10	3	29444
10	4	24066
10	2	280
11	3	27637
11	4	21002
11	2	70
12	4	21794
12	3	21522
13	4	12388
13	3	13514
14	4	10696
14	3	2200
15	3	406
--- end of histogram ---
