realDistance	heuristic	count
0	0	486
1	1	486
2	2	1481
3	3	2985
3	13	2
3	7	122
3	21	144
3	31	222
3	30	2
3	20	8
3	41	82
4	3	1020
4	4	5494
4	14	9
4	8	789
4	13	2
4	22	676
4	334	2
4	257	2
4	368	2
4	302	6
4	32	1211
4	460	60
4	419	10
4	31	11
4	21	20
4	42	451
5	71	64
5	108	46
5	4	2715
5	3	4
5	15	18
5	31	10
5	9	2418
5	42	154
5	5	7293
5	12	212
5	14	13
5	33	3866
5	335	17
5	23	2032
5	258	11
5	369	17
5	303	33
5	461	510
5	420	85
5	21	6
5	58	2
5	8	276
5	78	82
5	32	236
5	22	138
5	67	2
5	43	902
6	280	36
6	109	138
6	72	104
6	4	20
6	5	7425
6	3	4
6	42	2
6	16	31
6	32	88
6	10	4827
6	6	9888
6	23	482
6	33	1052
6	43	546
6	13	1060
6	303	6
6	15	40
6	339	2
6	8	248
6	456	10
6	336	68
6	24	5319
6	34	9740
6	259	30
6	371	2
6	370	68
6	304	90
6	497	60
6	462	2040
6	421	340
6	405	2
6	22	20
6	59	6
6	9	1004
6	108	22
6	420	10
6	369	2
6	79	246
6	68	6
6	44	1394
6	461	60
7	281	180
7	73	338
7	110	253
7	23	42
7	32	2
7	33	567
7	5	90
7	6	17949
7	4	14
7	43	14
7	11	6881
7	79	144
7	7	11728
7	461	40
7	24	1917
7	34	4217
7	9	1104
7	44	1929
7	13	300
7	14	3074
7	17	67
7	8	4
7	304	38
7	16	80
7	340	14
7	35	21730
7	88	30
7	109	62
7	337	194
7	25	12573
7	462	532
7	260	64
7	457	70
7	372	14
7	371	194
7	305	192
7	498	420
7	463	5820
7	422	970
7	406	14
7	60	15
7	10	2210
7	280	12
7	421	38
7	370	6
7	80	695
7	69	15
7	45	1312
8	110	353
8	282	558
8	74	754
8	6	1271
8	111	316
8	7	33112
8	32	2
8	33	14
8	461	2
8	24	85
8	34	2561
8	9	24
8	5	36
8	44	53
8	80	1090
8	12	7260
8	8	12851
8	462	288
8	25	6237
8	35	13744
8	10	4572
8	14	2472
8	45	2816
8	15	5936
8	18	222
8	305	130
8	341	69
8	13	268
8	36	42048
8	89	254
8	280	4
8	463	3324
8	26	25243
8	338	378
8	457	4
8	498	120
8	17	114
8	458	395
8	261	84
8	373	69
8	372	378
8	306	252
8	499	2370
8	464	11340
8	423	1890
8	407	69
8	109	4
8	73	4
8	79	4
8	61	20
8	11	3568
8	281	48
8	421	4
8	422	163
8	371	23
8	70	20
8	46	1025
8	81	820
9	111	1110
9	283	1152
9	75	1296
9	286	30
9	112	195
9	7	3750
9	8	55533
9	33	14
9	25	510
9	34	65
9	462	14
9	35	8507
9	10	96
9	44	4
9	6	233
9	80	26
9	45	88
9	14	3322
9	81	2308
9	36	34420
9	13	5724
9	18	368
9	9	13381
9	463	1974
9	26	16363
9	11	10120
9	15	7344
9	74	42
9	46	4094
9	16	8056
9	19	569
9	306	294
9	110	32
9	89	4
9	457	4
9	37	73606
9	499	1312
9	342	196
9	90	1579
9	281	20
9	458	48
9	339	600
9	27	45252
9	464	10904
9	459	1100
9	262	97
9	374	196
9	373	600
9	307	291
9	500	6600
9	465	18000
9	424	3000
9	408	196
9	62	21
9	12	4506
9	282	186
9	422	24
9	423	340
9	372	36
9	71	21
9	47	492
9	82	861
10	112	2855
10	90	126
10	284	1656
10	76	2280
10	287	120
10	9	84438
10	113	40
10	8	10072
10	282	182
10	34	65
10	35	238
10	36	21591
10	463	97
10	25	12
10	26	1720
10	7	766
10	11	236
10	45	8
10	81	52
10	46	273
10	74	4
10	15	12084
10	82	5530
10	499	354
10	37	74170
10	19	1210
10	14	3334
10	464	6864
10	27	36859
10	12	18774
10	16	14847
10	75	84
10	47	2784
10	17	7844
10	10	8844
10	20	964
10	111	120
10	458	30
10	6	14
10	307	503
10	18	208
10	38	116225
10	343	447
10	500	6184
10	91	5248
10	459	184
10	465	28152
10	28	69920
10	340	712
10	460	2595
10	263	60
10	375	447
10	374	712
10	308	180
10	501	15570
10	466	21360
10	425	3560
10	409	447
10	286	40
10	283	468
10	13	4664
10	423	80
10	424	703
10	373	65
10	63	12
10	72	12
10	48	164
10	83	492
11	113	6012
11	91	524
11	285	1692
11	288	240
11	10	111949
11	76	277
11	77	1668
11	9	22774
11	283	568
11	463	12
11	25	12
11	35	180
11	499	16
11	36	677
11	464	336
11	26	56
11	37	50994
11	27	6383
11	8	2249
11	12	451
11	46	24
11	82	129
11	75	8
11	47	232
11	16	38325
11	500	1648
11	38	133690
11	20	3935
11	83	4412
11	15	1554
11	465	21736
11	28	66875
11	13	24656
11	17	20850
11	48	1922
11	18	5300
11	11	5830
11	21	1100
11	112	393
11	6	4
11	459	112
11	7	60
11	19	1352
11	39	161147
11	501	24546
11	92	15330
11	460	597
11	308	652
11	344	720
11	341	711
11	29	93991
11	466	49434
11	461	3900
11	264	36
11	286	18
11	376	720
11	375	711
11	309	108
11	502	23400
11	467	21330
11	426	3555
11	410	720
11	287	160
11	284	999
11	14	3652
11	90	4
11	424	189
11	425	876
11	374	48
11	64	5
11	73	5
11	84	205
12	114	8554
12	92	839
12	286	1188
12	289	300
12	11	107637
12	78	77
12	77	144
12	10	20514
12	284	1417
12	464	56
12	26	56
12	36	387
12	500	56
12	465	1211
12	27	232
12	37	1678
12	38	89021
12	28	13894
12	9	4365
12	13	528
12	46	8
12	76	40
12	47	20
12	83	32
12	48	317
12	17	53912
12	501	9352
12	39	140207
12	21	4864
12	84	3625
12	466	40854
12	29	81207
12	14	21835
12	18	9300
12	16	1256
12	20	8454
12	22	832
12	19	2332
12	12	244
12	113	775
12	7	16
12	460	333
12	8	68
12	309	675
12	40	128390
12	345	951
12	502	44610
12	93	25142
12	461	654
12	467	50642
12	30	77516
12	342	530
12	462	1351
12	287	72
12	377	951
12	376	530
12	503	23840
12	468	12190
12	411	951
12	427	1060
--- end of histogram ---
realDistance	heuristic	count
0	0	486
1	1	486
2	2	1238
2	1	243
3	2	2985
3	3	582
4	3	5733
