realDistance	heuristic	count
0	0	1376
1	1	1376
2	2	4360
3	91	3
3	3	9709
3	7	50
3	154	414
3	16	11
3	13	480
3	110	6
3	21	1156
3	74	3
3	31	413
3	131	3
3	34	10
3	46	12
3	59	3
3	41	409
3	55	22
3	30	24
3	20	5
3	70	411
3	42	8
3	45	2
3	73	127
3	58	3
3	24	136
3	107	260
3	88	4
3	10	2
4	92	18
4	3	3390
4	655	6
4	8	257
4	155	3312
4	4	13565
4	17	44
4	280	6
4	14	1986
4	111	36
4	812	18
4	22	5703
4	75	15
4	608	6
4	867	351
4	32	1672
4	132	18
4	708	6
4	759	6
4	35	49
4	345	6
4	380	3
4	47	60
4	385	3
4	470	6
4	563	6
4	60	15
4	13	6
4	42	2592
4	56	130
4	31	120
4	21	35
4	71	3109
4	43	55
4	1121	2
4	46	10
4	86	1
4	768	2
4	121	2
4	1253	110
4	74	635
4	355	2
4	1186	3
4	59	15
4	390	1
4	431	2
4	527	1
4	616	2
4	664	1
4	880	1
4	25	278
4	937	2
4	1058	1
4	157	1
4	178	2
4	230	1
4	257	2
4	321	1
4	108	1170
4	20	4
4	89	10
4	281	2
4	11	4
4	1063	1
4	332	2
4	1188	2
4	350	115
4	1608	120
4	891	1
4	946	1
4	1320	1
4	1389	1
4	1460	2
4	316	3
4	363	1
4	1533	1
4	447	1
4	509	1
4	593	1
4	636	1
4	682	1
4	779	1
4	834	1
5	4	14491
5	33	4710
5	56	42
5	21	9
5	58	384
5	71	1971
5	656	66
5	156	9225
5	23	16100
5	31	43
5	39	1036
5	42	813
5	9	658
5	281	48
5	15	4152
5	14	157
5	73	19
5	134	1430
5	18	94
5	5	12709
5	93	46
5	88	628
5	112	92
5	813	198
5	609	48
5	76	40
5	868	3861
5	709	66
5	133	46
5	760	66
5	43	6183
5	346	48
5	22	978
5	98	33
5	36	127
5	381	24
5	386	24
5	32	482
5	115	22
5	48	160
5	471	48
5	564	48
5	61	43
5	155	416
5	111	8
5	72	10059
5	51	126
5	136	128
5	57	402
5	152	406
5	87	247
5	132	6
5	44	180
5	1122	20
5	75	1124
5	769	18
5	108	122
5	122	16
5	90	397
5	1254	1102
5	356	16
5	1187	30
5	81	24
5	60	23
5	38	380
5	391	8
5	432	16
5	528	8
5	617	16
5	665	8
5	881	9
5	26	647
5	938	18
5	1059	9
5	158	8
5	179	16
5	231	8
5	47	22
5	258	16
5	322	8
5	19	8
5	35	4
5	109	2714
5	24	244
5	74	240
5	25	8
5	40	8
5	49	16
5	92	2
5	282	6
5	1064	12
5	130	3
5	333	18
5	1189	24
5	351	345
5	1609	1440
5	892	9
5	947	9
5	1321	12
5	1390	12
5	1461	24
5	317	9
5	364	9
5	1534	12
5	448	9
5	510	9
5	194	1
5	594	9
5	220	2
5	637	9
5	683	9
5	248	1
5	780	9
5	835	9
6	152	402
6	87	361
6	877	351
6	5	40611
6	57	192
6	927	3
6	22	1446
6	1848	318
6	1073	324
6	72	10466
6	1769	18
6	33	2144
6	23	6991
6	657	278
6	15	1041
6	24	33083
6	39	1147
6	32	170
6	40	6789
6	10	1166
6	43	5211
6	157	18546
6	34	9592
6	822	6
6	282	208
6	220	859
6	135	12553
6	74	122
6	19	170
6	16	6839
6	94	89
6	59	802
6	6	8428
6	1079	6
6	49	314
6	89	4642
6	113	178
6	1540	12
6	814	834
6	610	200
6	77	77
6	869	16263
6	1613	6
6	710	278
6	134	89
6	761	278
6	44	11374
6	347	200
6	99	219
6	37	239
6	1228	12
6	73	20870
6	382	100
6	387	675
6	116	146
6	472	200
6	1364	6
6	565	200
6	62	100
6	71	1119
6	4	22
6	47	6
6	56	16
6	78	661
6	109	968
6	868	351
6	656	5
6	112	42
6	156	7780
6	75	1163
6	26	479
6	88	1721
6	137	374
6	121	2
6	58	852
6	153	2000
6	709	6
6	133	292
6	813	18
6	45	379
6	136	2
6	67	15
6	760	6
6	168	119
6	1223	4
6	1290	218
6	76	1496
6	192	14
6	108	4
6	770	72
6	1476	7
6	1609	228
6	892	1
6	123	64
6	1543	327
6	947	1
6	91	1550
6	357	64
6	82	184
6	1188	108
6	61	32
6	1534	1
6	1255	3974
6	392	32
6	433	64
6	529	32
6	618	64
6	666	32
6	205	12
6	882	36
6	27	1404
6	1064	1
6	939	72
6	1060	36
6	1123	72
6	159	32
6	1189	2
6	180	64
6	1254	219
6	232	32
6	48	48
6	1321	1
6	259	64
6	1390	1
6	1461	2
6	323	32
6	20	49
6	346	2
6	36	16
6	51	212
6	110	5638
6	25	488
6	665	2
6	381	2
6	769	4
6	1187	6
6	386	2
6	41	49
6	471	4
6	881	2
6	50	98
6	938	4
6	564	4
6	1059	2
6	609	4
6	1122	4
6	93	8
6	1753	119
6	14	332
6	317	12
6	1065	50
6	353	13
6	131	15
6	334	74
6	167	9
6	456	4
6	31	1
6	1190	100
6	38	1
6	351	460
6	1610	6000
6	893	37
6	318	6
6	994	4
6	948	37
6	1137	2
6	1194	4
6	1348	2
6	1411	4
6	1322	50
6	1391	50
6	1462	100
6	365	37
6	491	2
6	1535	50
6	449	37
6	553	4
6	511	37
6	195	5
6	595	37
6	231	3
6	672	2
6	221	10
6	638	37
6	257	6
6	786	4
6	684	37
6	249	5
6	781	37
6	285	3
6	861	2
6	836	37
7	153	2205
7	88	3131
7	878	3081
7	6	88296
7	59	2016
7	1046	15
7	928	15
7	23	6924
7	58	588
7	1849	1590
7	1074	972
7	1770	90
7	73	42504
7	172	809
7	24	34739
7	34	8999
7	72	5276
7	869	8727
7	25	52439
7	40	5290
7	33	772
7	41	25557
7	658	808
7	158	26775
7	44	19603
7	35	17085
7	52	920
7	137	859
7	104	624
7	823	42
7	1254	327
7	881	3
7	221	8575
7	283	626
7	16	2672
7	135	2009
7	136	52478
7	89	10797
7	75	414
7	17	9098
7	20	226
7	157	36159
7	814	396
7	60	2448
7	11	1456
7	7	3900
7	95	117
7	1080	30
7	938	6
7	50	462
7	90	16740
7	114	234
7	1541	60
7	815	2424
7	611	602
7	116	6
7	78	108
7	870	47268
7	1614	30
7	711	808
7	762	808
7	45	14543
7	348	602
7	100	753
7	38	329
7	1229	60
7	1059	3
7	74	31162
7	1122	6
7	383	301
7	1073	12
7	388	4627
7	117	502
7	1187	9
7	473	602
7	99	9
7	1365	30
7	566	602
7	63	198
7	1629	2
7	1864	106
7	280	305
7	22	14
7	5	38
7	109	16
7	48	46
7	57	98
7	110	5002
7	79	5643
7	15	829
7	657	52
7	113	142
7	43	12
7	1290	103
7	76	4581
7	387	286
7	1609	346
7	27	1263
7	138	482
7	122	10
7	154	5355
7	710	106
7	134	414
7	46	563
7	1785	6
7	68	115
7	761	132
7	32	6
7	169	937
7	1224	24
7	1291	1502
7	77	1034
7	1188	36
7	1158	2
7	868	117
7	813	3
7	193	96
7	9	9
7	771	200
7	1610	2109
7	92	4124
7	994	1
7	893	6
7	91	676
7	1477	56
7	1223	2
7	124	178
7	1137	1
7	948	6
7	1544	2398
7	1255	1807
7	358	178
7	83	720
7	1189	300
7	62	42
7	1535	6
7	1256	11021
7	393	89
7	434	178
7	530	89
7	619	178
7	667	89
7	206	84
7	883	100
7	28	1402
7	1194	2
7	1065	6
7	940	200
7	1061	100
7	1124	200
7	160	1565
7	1190	12
7	181	178
7	1348	1
7	1411	2
7	233	89
7	49	118
7	1322	6
7	260	178
7	1476	2
7	1391	6
7	1462	12
7	324	89
7	1228	8
7	1848	212
7	51	330
7	71	8
7	21	161
7	347	12
7	37	54
7	111	8630
7	666	10
7	105	1446
7	26	863
7	382	12
7	770	20
7	1613	4
7	1769	12
7	42	161
7	472	24
7	882	10
7	1364	4
7	939	20
7	565	24
7	1540	8
7	1060	10
7	610	24
7	1123	20
7	94	27
7	1754	699
7	318	42
7	1066	121
7	354	84
7	132	36
7	335	194
7	168	60
7	457	34
7	98	6
7	1191	242
7	39	2
7	352	1725
7	1611	14520
7	894	97
7	319	40
7	995	34
7	949	97
7	1138	17
7	1195	34
7	1349	17
7	1412	34
7	1323	121
7	1392	121
7	1463	242
7	366	97
7	492	17
7	1536	121
7	450	97
7	554	34
7	512	97
7	196	12
7	596	97
7	232	20
7	673	17
7	222	24
7	639	97
7	258	40
7	787	34
7	685	97
7	250	12
7	782	97
7	286	20
7	862	17
7	837	97
8	154	8511
8	35	8536
8	6	3752
8	878	220
8	89	9024
8	1865	169
8	1074	832
8	60	1471
8	1047	90
8	73	672
8	929	51
8	157	3276
8	59	954
8	24	11651
8	1849	127
8	1771	318
8	351	154
8	1609	220
8	173	2914
8	25	24491
8	869	525
8	74	60487
8	137	49034
8	40	586
8	870	12205
8	26	21921
8	41	3835
8	34	741
8	42	14104
8	7	33549
8	659	1702
8	53	1724
8	138	3388
8	105	2892
8	879	8030
8	221	317
8	814	12
8	882	18
8	1255	1825
8	222	13625
8	237	568
8	36	12981
8	284	1360
8	17	1394
8	136	4568
8	90	7162
8	158	4297
8	815	138
8	824	210
8	45	23042
8	76	242
8	21	242
8	18	1183
8	52	652
8	1850	4247
8	1075	1449
8	12	152
8	159	17391
8	96	128
8	61	975
8	8	638
8	1081	102
8	939	36
8	51	132
8	91	242
8	115	256
8	1542	153
8	816	4422
8	612	1360
8	117	33
8	79	121
8	871	52121
8	1615	102
8	712	1702
8	763	1531
8	46	348
8	349	1360
8	101	726
8	39	363
8	1230	102
8	1060	18
8	75	99
8	1123	18
8	384	680
--- end of histogram ---
realDistance	heuristic	count
0	0	1376
1	1	1376
2	2	3672
2	1	688
3	3	3977
3	2	9537
3	1	172
4	3	25569
4	4	823
4	2	12744
5	3	72463
5	4	16616
5	2	13711
6	4	74362
6	3	181575
6	5	1721
6	2	14165
7	4	271167
7	3	409900
7	5	10571
7	2	15266
8	4	229834
8	3	213718
8	5	9349
8	2	4098
--- end of histogram ---
