realDistance	heuristic	count
0	0	5120
1	1	15552
2	12	12096
2	6	8384
2	2	26560
2	3	1728
3	12	1728
3	19	6432
3	21	1664
3	7	7968
3	10	23552
3	16	45024
3	31	4160
3	3	27016
3	13	832
3	8	832
4	20	2944
4	25	25456
4	21	832
4	31	2944
4	8	3728
4	22	101464
4	28	2944
4	30	11496
4	11	12928
4	32	960
4	16	38080
4	38	14720
4	14	8144
4	4	18880
4	9	192
5	37	5888
5	22	3408
5	29	103472
5	21	624
5	32	1872
5	23	4496
5	50	14720
5	47	5440
5	12	4208
5	34	1248
5	33	320
5	15	27808
5	26	76784
5	39	8560
5	45	12544
5	17	7896
5	53	1536
5	44	6240
5	24	40240
5	49	27200
5	30	75264
5	18	4320
5	81	3840
5	5	8930
5	31	6688
5	16	2944
5	10	64
6	34	26294
6	46	26224
6	30	10760
6	40	95818
6	22	548
6	38	2016
6	42	19272
6	33	688
6	23	64
6	35	174736
6	24	7808
6	51	3120
6	48	1128
6	64	43130
6	13	848
6	32	129120
6	43	4464
6	59	54400
6	69	6344
6	16	7992
6	18	2632
6	27	16000
6	53	23088
6	63	1440
6	88	11040
6	45	3024
6	21	23328
6	54	6216
6	19	8992
6	25	19280
6	50	5640
6	60	2208
6	106	640
6	6	2708
6	41	10880
6	15	3832
6	17	624
6	20	624
7	47	34584
7	57	11648
7	32	5080
7	39	168208
7	31	5192
7	35	5694
7	49	8484
7	34	416
7	43	111288
7	52	21752
7	64	23608
7	75	27200
7	44	94528
7	36	56392
7	65	30000
7	41	8968
7	66	47904
7	71	12928
7	59	41408
7	17	2968
7	33	29744
7	55	19156
7	28	11024
7	60	11280
7	70	1680
7	69	3008
7	99	7072
7	46	10140
7	56	7776
7	20	7864
7	72	93240
7	97	4670
7	22	9072
7	54	8400
7	53	1076
7	26	5056
7	51	1880
7	79	1784
7	100	7200
7	95	7200
7	113	2048
7	29	24924
7	40	93400
7	73	4670
7	23	5400
7	94	6240
7	74	2080
7	87	4062
7	76	464
7	107	1920
7	83	18680
7	7	474
7	42	2256
7	25	12544
7	18	208
7	21	240
8	60	6621
8	49	697
8	63	11180
8	48	2567
8	57	4017
8	40	15033
8	32	697
8	58	481
8	36	1191
8	50	52865
8	44	450
8	87	2338
8	68	3566
8	53	14724
8	65	3481
8	37	6936
8	76	23607
8	55	1827
8	66	4071
8	45	47952
8	42	22553
8	88	4860
8	86	16721
8	52	7290
8	67	6411
8	34	2730
8	72	993
8	74	3305
8	61	3946
8	71	194
8	78	1085
8	111	447
8	54	189
8	64	99
8	99	7
8	70	4311
8	80	4416
8	106	3296
8	77	1197
8	18	85
8	56	4078
8	92	2663
8	82	4496
8	21	1423
8	23	1048
8	114	2522
8	101	612
8	85	64
8	73	8283
8	98	429
8	75	596
8	124	364
8	26	2910
8	24	1261
8	89	22800
8	131	764
8	30	4284
8	41	8400
8	125	320
8	95	235
8	120	480
8	109	1710
8	108	240
8	39	4440
8	83	10320
8	96	764
8	29	2318
8	103	1404
8	27	252
8	47	1186
8	84	1680
8	119	128
8	8	24
8	43	140
8	51	3552
8	35	144
8	22	10
--- end of histogram ---
realDistance	heuristic	count
0	0	5120
1	1	15552
2	2	23040
2	1	25728
3	3	15648
3	2	76736
3	1	26824
4	3	39720
4	2	183400
4	4	3776
4	1	18816
5	3	124264
5	4	7504
5	2	315856
5	1	8930
6	4	28592
6	3	252010
6	2	473660
6	1	2708
7	4	49198
7	3	490476
7	2	606034
7	1	474
8	3	178592
8	4	24313
8	2	181851
8	1	24
--- end of histogram ---
