realDistance	heuristic	count
0	0	192
1	1	320
2	12	192
2	6	192
2	2	264
2	3	64
3	12	64
3	19	116
3	21	64
3	10	304
3	16	348
3	31	32
3	3	87
3	13	32
3	7	116
3	8	32
4	20	60
4	25	234
4	21	32
4	31	60
4	11	164
4	22	473
4	28	60
4	37	64
4	30	87
4	16	141
4	38	60
4	14	178
4	56	32
4	4	16
4	8	58
5	37	152
5	22	58
5	29	478
5	32	20
5	38	64
5	50	60
5	47	87
5	63	56
5	34	20
5	15	240
5	57	32
5	26	282
5	39	47
5	44	76
5	31	127
5	45	32
5	24	96
5	49	47
5	20	20
5	30	64
5	23	32
5	16	60
5	41	40
5	19	16
5	5	1
5	18	20
6	34	63
6	46	238
6	40	172
6	30	132
6	42	104
6	38	32
6	48	116
6	64	89
6	35	363
6	41	110
6	53	118
6	45	66
6	32	225
6	16	39
6	59	94
6	69	42
6	43	38
6	63	20
6	70	20
6	75	40
6	50	24
6	21	44
6	19	75
6	54	18
6	55	20
6	58	12
6	24	29
6	20	26
6	25	94
6	28	2
6	74	20
6	33	40
6	47	24
6	15	29
7	57	134
7	47	145
7	32	29
7	39	339
7	49	136
7	42	16
7	54	114
7	64	124
7	75	67
7	52	38
7	38	16
7	48	44
7	86	20
7	50	40
7	62	112
7	58	24
7	44	146
7	71	39
7	76	52
7	41	101
7	51	24
7	59	127
7	66	48
7	65	38
7	89	24
7	55	16
7	20	40
7	56	44
7	36	88
7	70	28
7	72	54
7	97	3
7	85	4
7	81	10
7	84	40
7	61	24
7	43	20
7	29	43
7	31	59
7	34	52
7	25	36
7	69	12
7	78	24
7	40	12
7	73	3
7	28	47
7	23	1
7	83	8
8	49	79
8	63	366
8	60	83
8	40	118
8	57	24
8	50	116
8	39	16
8	65	179
8	87	39
8	51	88
8	55	76
8	59	44
8	68	134
8	73	46
8	100	32
8	42	57
8	45	169
8	77	23
8	90	52
8	88	16
8	86	60
8	52	18
8	74	14
8	95	20
8	80	16
8	72	20
8	21	8
8	82	30
8	85	52
8	56	27
8	62	24
8	54	9
8	81	12
8	96	26
8	76	60
8	92	6
8	61	54
8	114	8
8	75	20
8	48	32
8	36	8
8	24	13
8	84	20
8	26	5
8	79	24
8	70	18
8	71	4
8	58	52
8	32	39
8	35	27
8	89	12
8	29	18
8	97	12
9	64	198
9	81	130
9	52	19
9	42	8
9	49	81
9	65	21
9	60	20
9	50	12
9	69	142
9	74	94
9	101	81
9	56	24
9	66	100
9	76	76
9	83	57
9	106	22
9	51	68
9	63	30
9	80	8
9	71	36
9	115	26
9	79	50
9	61	15
9	75	28
9	87	10
9	96	44
9	73	21
9	112	24
9	85	30
9	92	24
9	54	68
9	107	20
9	125	8
9	88	18
9	84	16
9	59	32
9	91	54
9	86	18
9	97	29
9	55	14
9	82	18
9	89	7
9	78	38
9	67	42
9	58	18
9	108	6
9	111	12
9	102	8
9	25	5
9	46	54
9	57	18
9	98	16
9	36	13
9	94	8
9	44	42
9	121	4
9	77	12
9	47	10
9	37	5
10	82	196
10	66	50
10	65	34
10	50	27
10	76	15
10	57	1
10	67	23
10	52	42
10	64	60
10	81	30
10	75	51
10	72	54
10	116	34
10	77	65
10	80	118
10	68	24
10	127	16
10	94	12
10	56	15
10	140	2
10	92	32
10	97	12
