realDistance	heuristic	count
0	0	36864
1	1	38400
2	12	23040
2	2	24576
2	6	7680
2	3	7680
3	12	7680
3	19	12288
3	16	36864
3	3	9216
3	7	12288
3	10	3584
4	25	19776
4	30	9216
4	22	27648
4	4	1920
4	14	9472
4	8	6144
4	45	3584
4	64	1792
4	31	1792
5	22	7040
5	29	37824
5	45	5632
5	30	7680
5	5	192
5	15	9216
5	46	1792
5	55	1920
5	71	2816
5	32	2336
5	31	2880
5	52	2816
5	65	896
5	20	960
5	38	896
5	49	2432
5	50	512
5	34	256
5	35	256
5	24	256
5	25	256
6	40	16896
6	35	19680
6	64	960
6	24	3072
6	15	3072
6	61	3840
6	46	896
6	56	2880
6	72	1408
6	49	896
6	58	480
6	53	1408
6	83	1920
6	71	960
6	78	960
6	43	480
6	63	960
6	77	480
6	39	448
6	28	160
6	82	960
6	55	480
6	50	960
6	42	3456
6	23	448
6	105	512
6	30	192
6	114	512
6	59	1152
6	60	1152
6	126	1024
6	135	1024
6	41	576
6	106	512
6	19	64
6	115	512
7	32	3072
7	39	4608
7	44	12960
7	55	2400
7	43	5280
7	25	3840
7	62	2592
7	58	2000
7	70	3840
7	94	960
7	50	448
7	57	960
7	46	896
7	56	1216
7	72	1920
7	42	608
7	84	960
7	79	736
7	67	960
7	64	480
7	92	1920
7	93	320
7	89	480
7	53	960
7	86	480
7	83	736
7	41	480
7	78	320
7	65	1920
7	34	960
7	75	1088
7	74	768
7	63	192
7	105	512
7	118	384
7	133	1792
7	114	512
7	127	384
7	142	640
7	96	192
7	115	768
7	37	144
7	97	960
7	124	384
7	136	1024
7	145	640
7	76	192
7	102	192
7	103	768
7	119	256
7	128	256
7	104	576
7	60	384
7	61	384
7	91	384
7	120	384
7	141	384
7	163	768
7	98	384
7	138	384
7	151	768
8	57	5376
8	50	8160
8	36	960
8	24	960
8	45	240
8	81	1920
8	59	960
8	71	2160
8	95	480
8	67	960
8	76	2736
8	47	448
8	73	720
8	108	1536
8	88	960
8	103	960
8	68	288
8	94	416
8	53	240
8	98	272
8	93	960
8	90	240
8	48	1104
8	83	960
8	82	320
8	54	480
8	80	240
