realDistance	heuristic	count
0	0	34
1	3	4
1	9	4
2	10	124
2	4	4
3	15	8
3	14	4
3	20	8
3	19	4
4	32	8
4	31	28
4	36	8
4	30	4
4	21	232
4	15	8
4	20	124
4	27	4
4	19	4
4	14	4
5	44	32
5	49	16
5	32	224
5	42	8
5	31	128
5	39	8
5	28	8
5	48	8
5	47	8
5	37	216
5	33	8
5	36	16
5	38	8
5	27	4
5	30	12
5	15	8
5	14	8
5	17	8
5	19	16
5	25	8
6	29	16
6	61	32
6	88	8
6	38	24
6	66	16
6	87	8
6	50	424
6	60	24
6	46	24
6	57	16
6	49	32
6	44	40
6	8	8
6	22	8
6	9	8
6	18	8
6	10	8
6	24	8
6	20	240
6	17	16
6	27	8
6	115	8
6	14	8
6	45	8
6	48	208
6	55	24
6	47	16
6	93	8
6	31	232
6	28	8
6	36	24
6	30	48
6	71	8
6	70	8
6	25	16
6	41	8
6	26	16
6	15	264
6	6	8
6	37	232
6	52	16
6	23	8
6	19	24
6	64	8
6	63	8
7	47	224
7	52	16
7	78	32
7	77	32
7	39	464
7	38	56
7	21	272
7	46	272
7	67	392
7	63	32
7	74	48
7	66	40
7	61	424
7	88	208
7	95	24
7	84	32
7	116	208
7	87	40
7	91	8
7	31	716
7	43	32
7	25	48
7	37	448
7	23	248
7	27	32
7	44	32
7	65	24
7	64	16
7	36	32
7	19	32
7	5	8
7	8	8
7	29	32
7	22	16
7	14	8
7	42	24
7	13	16
7	122	8
7	123	8
7	34	56
7	103	8
7	26	24
7	20	28
7	18	224
7	28	272
7	24	32
7	17	32
7	10	44
7	115	32
7	127	8
7	100	8
7	62	24
7	85	8
7	45	16
7	124	8
7	41	8
7	101	8
7	75	24
7	33	24
7	70	40
7	30	32
7	56	24
7	12	8
7	92	8
7	97	8
7	40	16
7	83	8
7	82	8
7	54	24
7	71	192
7	99	8
7	48	256
7	49	8
7	16	500
7	59	16
7	35	24
7	32	208
7	121	8
7	53	8
7	73	16
7	72	8
7	60	48
7	57	16
7	81	8
7	80	16
7	55	16
7	9	8
7	68	8
7	125	8
7	7	4
7	58	8
7	132	8
8	64	72
8	63	24
8	53	280
8	49	72
8	60	52
8	52	64
8	47	472
8	103	36
8	78	392
8	88	616
8	74	256
8	85	48
8	77	96
8	102	24
8	72	68
8	87	96
8	51	84
8	104	176
8	61	56
8	135	8
8	25	284
8	45	300
8	55	56
8	27	88
8	33	64
8	29	116
8	37	96
8	65	264
8	34	320
8	62	232
8	67	80
8	71	248
8	18	264
8	32	66
8	41	464
8	43	504
8	70	64
8	95	40
8	76	248
8	31	56
8	28	512
8	56	272
8	12	32
8	26	76
8	40	552
8	38	296
8	105	8
8	35	704
8	100	36
8	46	80
8	68	64
8	113	16
8	54	256
8	24	264
8	23	56
8	22	576
8	44	480
8	39	288
8	94	32
8	99	32
8	117	24
8	149	8
8	57	40
8	79	48
8	20	728
8	14	320
8	8	160
8	16	48
8	50	72
8	15	280
8	9	8
8	96	192
8	92	40
8	107	16
8	93	24
8	30	80
8	11	420
8	19	40
8	58	32
8	36	264
8	116	176
8	120	8
8	42	96
8	115	40
8	111	24
8	82	56
8	10	40
8	6	8
8	125	24
8	114	8
8	48	248
8	21	80
8	80	24
8	75	24
8	17	156
8	66	232
8	89	24
8	108	24
8	13	232
8	69	48
8	119	24
8	98	192
8	109	8
8	97	32
8	118	16
8	83	184
8	90	24
8	59	72
8	73	232
8	5	16
8	129	56
8	112	40
8	91	24
8	122	208
8	142	8
8	106	8
8	121	16
8	153	8
8	131	8
8	84	40
8	168	8
8	167	8
8	128	8
8	127	8
8	134	8
8	123	8
8	86	16
8	7	16
8	126	184
8	137	8
8	110	8
8	157	8
8	133	192
8	144	8
8	147	8
8	132	16
9	44	1460
9	53	1228
9	64	496
9	60	800
9	71	728
9	63	544
9	28	496
9	36	568
9	105	64
9	31	1016
9	202	8
9	87	144
9	49	420
9	123	16
9	98	104
9	48	424
9	195	8
9	59	612
9	56	288
9	58	392
9	85	264
9	65	312
9	104	192
9	103	92
9	100	72
9	115	216
9	47	456
9	61	352
9	39	624
9	41	1080
9	108	100
9	76	176
9	43	620
9	68	1144
9	52	972
9	66	260
9	90	480
9	50	840
