realDistance	heuristic	count
0	0	1024
1	1	2816
2	1	768
2	5	768
2	2	2176
3	1	768
3	3	448
3	2	768
3	6	768
4	2	2496
4	1	320
4	4	64
5	6	1088
5	2	1408
5	3	2208
5	1	160
6	2	1024
6	3	1600
6	6	160
6	4	512
6	7	1152
6	1	64
7	3	1760
7	2	960
7	4	608
7	6	32
7	1	32
7	7	160
7	5	32
7	8	64
8	7	416
8	2	768
8	3	2016
8	4	1120
8	6	32
8	5	96
9	3	1632
9	4	1696
9	7	480
9	2	512
9	6	32
9	5	288
9	1	128
9	8	384
10	4	1408
10	3	1408
10	7	320
10	5	704
10	8	544
10	2	480
10	1	256
10	6	64
11	4	1472
11	3	1344
11	7	224
11	5	864
11	8	416
11	2	992
11	1	64
11	6	224
11	9	96
12	4	1632
12	3	1728
12	7	256
12	5	864
12	8	384
12	9	160
12	2	384
12	6	704
13	3	672
13	4	1696
13	5	928
13	6	480
13	2	128
13	8	288
13	9	160
13	10	32
13	7	352
14	4	896
14	2	64
14	5	992
14	3	416
14	8	192
14	6	480
14	9	160
14	7	192
15	5	832
15	4	704
15	8	160
15	3	320
15	6	512
15	7	480
15	9	256
15	10	32
16	7	384
16	4	480
16	5	544
16	8	384
16	6	384
16	9	192
16	10	96
17	5	288
17	6	160
17	7	128
17	8	160
17	9	96
17	10	32
17	11	32
18	6	64
18	7	32
18	8	32
--- end of histogram ---
realDistance	heuristic	count
0	0	1024
1	1	2816
2	1	768
2	2	2944
3	1	1024
3	2	576
3	3	1152
4	2	2240
4	1	576
4	3	64
5	3	2912
5	2	1728
5	1	224
6	2	1408
6	3	1664
6	1	128
6	4	1312
7	3	1728
7	1	192
7	2	1216
7	4	512
8	4	896
8	1	160
8	3	2144
8	2	1248
9	2	1216
9	4	1440
9	3	2272
9	1	224
10	3	2240
10	4	1568
10	2	960
10	1	416
11	3	2240
11	2	1408
11	4	1728
11	1	320
12	3	2592
12	2	1408
12	4	1984
12	5	64
12	1	64
13	2	768
13	3	2240
13	4	1664
13	5	64
14	3	1664
14	2	352
14	4	1376
15	4	1888
15	3	1184
15	5	128
15	2	96
16	4	1856
16	5	192
16	3	416
17	4	832
17	5	64
18	4	128
--- end of histogram ---
