realDistance	heuristic	count
0	0	262144
1	1	294912
2	2	245760
2	12	49152
2	6	16384
3	3	90112
3	22	16384
3	12	81920
3	13	114688
3	7	16384
4	22	57344
4	14	110592
4	13	147456
4	4	24576
4	23	16384
4	8	4096
5	15	57344
5	14	86016
5	23	61440
5	17	8192
5	32	8192
5	22	16384
5	5	4096
5	24	4096
6	16	20480
6	18	12288
6	33	12288
6	23	32768
6	32	24576
6	15	16384
6	22	16384
6	24	16384
7	33	36864
7	24	20480
7	23	24576
7	17	4096
7	19	4096
7	32	2048
7	34	4096
8	25	6144
8	24	8192
8	33	2048
8	27	2048
8	42	2048
8	32	2048
8	34	12288
9	26	2048
9	28	2048
9	43	2048
9	33	2048
9	42	6144
10	43	6144
--- end of histogram ---
realDistance	heuristic	count
0	0	262144
1	1	294912
2	2	163840
2	1	147456
3	2	131072
3	3	163840
3	1	24576
4	4	49152
4	3	262144
4	2	49152
5	3	180224
5	4	49152
5	2	16384
6	3	110592
6	4	36864
6	2	4096
7	4	36864
7	3	57344
7	2	2048
8	3	22528
8	4	12288
9	3	8192
9	4	6144
10	4	6144
--- end of histogram ---
