realDistance	heuristic	count
0	0	144
1	1	524
2	6	484
2	7	960
2	2	476
2	3	472
2	12	40
2	13	120
2	20	99
2	21	392
3	2	712
3	3	428
3	4	848
3	11	872
3	12	2592
3	14	120
3	5	420
3	15	864
3	16	1712
3	8	476
3	13	856
3	22	582
4	7	2104
4	8	3440
4	13	1816
4	14	336
4	11	440
4	12	1288
4	3	1288
4	4	1656
4	5	1128
4	16	1720
4	17	5040
4	6	1116
4	20	1948
4	21	5760
4	22	2928
4	15	224
4	24	2336
4	25	6176
4	26	2688
4	10	4
4	18	2544
4	9	856
4	28	776
4	29	1536
4	19	760
4	23	1032
5	3	428
5	13	8992
5	20	2340
5	21	8536
5	15	464
5	17	12600
5	22	11584
5	14	4420
5	16	5584
5	4	1152
5	5	2612
5	6	2440
5	7	1944
5	25	7620
5	26	10368
5	12	3120
5	29	4992
5	30	12464
5	31	9640
5	8	2064
5	33	5648
5	34	15216
5	18	6952
5	35	8216
5	9	3492
5	23	7668
5	24	5896
5	10	2304
5	27	3904
5	37	4872
5	38	11696
5	32	3112
5	39	2040
5	19	848
5	11	760
5	41	2064
5	42	4080
5	36	680
5	28	1052
6	11	2808
6	12	2685
6	17	6846
6	18	15667
6	28	9527
6	29	13097
6	25	10578
6	26	28059
6	21	7223
6	22	20674
6	30	25004
6	31	18832
6	13	5142
6	19	9964
6	32	6996
6	4	1030
6	15	3346
6	5	1992
6	16	1483
6	6	2223
6	7	2474
6	27	22229
6	8	4202
6	38	9265
6	39	12004
6	40	9566
6	9	6422
6	34	14926
6	35	16465
6	42	7695
6	43	14157
6	23	14099
6	44	11551
6	10	4921
6	36	9501
6	33	6076
6	46	8275
6	47	19420
6	45	3918
6	14	6708
6	48	8858
6	50	7222
6	51	18109
6	49	1260
6	41	4694
6	20	2475
6	52	4118
6	37	5464
6	54	4165
6	55	9191
6	53	317
6	56	953
6	58	959
6	59	1894
6	24	3980
--- end of histogram ---
realDistance	heuristic	count
0	0	144
1	1	524
2	2	3043
3	1	712
3	3	8592
3	2	1178
4	2	19048
4	4	28484
4	3	3408
5	1	428
5	3	95684
5	2	2956
5	5	90304
5	4	14492
6	2	42276
6	4	220862
6	3	31676
6	6	147331
6	5	28564
--- end of histogram ---
