realDistance	heuristic	count
0	0	7
1	1	2
1	4	10
2	2	4
2	5	10
3	5	10
3	9	10
3	3	2
4	6	10
4	2	2
4	10	20
4	3	2
5	6	8
5	10	28
5	3	4
5	11	10
5	4	6
6	6	2
6	11	32
6	10	7
6	4	2
6	5	6
7	3	2
7	11	14
7	4	7
7	12	20
7	6	2
8	4	2
8	12	26
8	11	2
8	5	15
9	12	7
9	11	2
9	6	13
10	12	7
10	5	2
10	7	5
11	6	9
12	7	7
--- end of histogram ---
realDistance	heuristic	count
0	0	7
1	1	12
2	1	12
2	2	2
3	2	22
4	2	34
5	3	36
5	2	20
6	3	38
6	2	11
7	3	38
7	2	7
8	4	8
8	3	34
8	2	3
9	3	15
9	4	6
9	2	1
10	3	10
10	4	4
11	3	7
11	4	2
12	4	7
--- end of histogram ---
